month_start,jackpot_millions,Deaths
2013-01-01,94.33333333333333,3429
2013-02-01,98.75,2926
2013-03-01,164.44444444444446,3454
2013-04-01,81.375,3399
2013-05-01,216.88888888888889,3415
2013-06-01,70.22222222222223,3396
2013-07-01,131.11111111111111,3557
2013-08-01,147.88888888888889,3477
2013-09-01,184.5,3329
2013-10-01,116.22222222222223,3345
2013-11-01,75.11111111111111,3068
2013-12-01,71.0,3077
2014-01-01,102.0,3192
2014-02-01,224.875,2973
2014-03-01,60.77777777777778,3295
2014-04-01,86.77777777777777,3505
2014-05-01,108.55555555555556,3485
2014-06-01,122.875,3457
2014-07-01,69.0,3453
2014-08-01,70.0,3897
2014-09-01,141.5,3895
2014-10-01,91.77777777777777,3660
2014-11-01,103.66666666666667,3345
2014-12-01,80.0,3289
2015-01-01,199.88888888888889,3499
2015-02-01,198.0,3096
2015-03-01,77.125,3809
2015-04-01,55.55555555555556,3585
2015-05-01,114.77777777777777,3839
2015-06-01,72.375,3697
2015-07-01,68.88888888888889,3843
2015-08-01,78.88888888888889,3785
2015-09-01,198.77777777777777,3458
2015-10-01,80.88888888888889,3563
2015-11-01,79.25,3228
2015-12-01,192.0,3368
2016-01-01,417.22222222222223,3569
2016-02-01,185.875,3296
2016-03-01,100.0,3787
2016-04-01,213.66666666666666,3678
2016-05-01,147.75,3731
2016-06-01,155.88888888888889,3636
2016-07-01,343.77777777777777,3952
2016-08-01,96.88888888888889,3905
2016-09-01,148.375,3589
2016-10-01,122.77777777777777,3680
2016-11-01,265.3333333333333,3299
2016-12-01,72.66666666666667,3285
2017-01-01,131.375,3573
2017-02-01,267.375,3250
2017-03-01,92.0,3705
2017-04-01,73.88888888888889,3779
2017-05-01,210.22222222222223,4102
2017-06-01,187.0,3932
2017-07-01,171.88888888888889,4064
2017-08-01,341.44444444444446,4136
2017-09-01,83.0,3884
2017-10-01,129.625,3902
2017-11-01,105.22222222222223,3578
2017-12-01,264.0,3466
2018-01-01,176.33333333333334,3778
2018-02-01,217.125,3406
2018-03-01,234.0,3856
2018-04-01,117.125,3762
2018-05-01,183.11111111111111,4017
2018-06-01,91.55555555555556,4249
2018-07-01,113.0,4231
2018-08-01,129.22222222222223,4164
2018-09-01,148.44444444444446,3986
2018-10-01,365.3333333333333,3976
2018-11-01,113.875,3484
2018-12-01,216.11111111111111,3580
2019-01-01,113.77777777777777,3666
2019-02-01,253.625,3428
2019-03-01,455.3333333333333,4004
2019-04-01,110.5,3857
2019-05-01,252.44444444444446,3914
2019-06-01,116.33333333333333,3922
2019-07-01,112.22222222222223,4093
2019-08-01,93.66666666666667,4060
2019-09-01,58.75,3966
2019-10-01,100.0,3887
2019-11-01,83.33333333333333,3454
2019-12-01,158.25,3588
2020-01-01,303.3333333333333,3861
2020-02-01,57.77777777777778,3500
2020-03-01,125.0,3823
2020-04-01,79.66666666666667,3351
2020-05-01,88.0,3649
2020-06-01,40.375,3841
2020-07-01,88.0,4059
2020-08-01,85.44444444444444,3897
2020-09-01,53.333333333333336,3739
2020-10-01,83.66666666666667,3596
2020-11-01,175.125,3538
2020-12-01,293.0,3422
